Building,Nation,City
Empire State Building,United States,New York
Château de Versailles,France,France métropolitaine
Tokyo Tower,日本,東京都
Gran Teatro de La Habana,Cuba,La Habana Vieja
Lotus Temple,United States,California
Golden Gate Bridge,United States,California
Dancing House,Česko,Praha
Great Pyramid of Giza,مصر,ميدان الرماية
Acropolis of Athens,Ελλάς,Αποκεντρωμένη Διοίκηση Αττικής
Dresden Frauenkirche,Deutschland,Sachsen
Pantheon,Italia,Lazio
St. Basils Cathedral,Россия,Москва
Forbidden City,中国,北京市
Sagrada Família,España,Catalunya
The Shard,United Kingdom,England
Sydney Opera House,Australia,New South Wales
Burj Khalifa,الإمارات العربية المتحدة,دبي
Taipei 101,臺灣,臺北市
Museu de Arte de São Paulo,Brasil,Região Sudeste
Cappella Sistina,Città del Vaticano,Cappella Sistina
Teatro Colón,Argentina,Ciudad Autónoma de Buenos Aires
